host,target
RNF170,MACC1
RNF170,LTB4R2
RNF170,ZDHHC22
RNF170,FKRP
RNF170,WNT4
RNF170,ATP2B1
RNF170,C1D
RNF170,HOXB8
RNF170,PRR14L
RNF170,AK3
RNF170,BARHL1
RNF170,FAM210B
RNF170,TACC2
RNF170,PRKAR2A
RNF170,CPE
RNF170,TMCC2
RNF170,TMEM132B
RNF170,ZSWIM5
ETS1,EFTUD2
ETS1,RPRM
ETS1,RPL22
ETS1,TBL1XR1
ETS1,MAP3K2
ETS1,HDGF
ETS1,EFHD2
ETS1,AVL9
ETS1,QSOX2
ETS1,RASL10B
ETS1,NDOR1
ETS1,CD3E
ETS1,IFNLR1
ETS1,GNAI2
ETS1,LIMD1
ETS1,ZBTB7B
ETS1,SETD1B
ETS1,H2AFX
ETS1,FAM43A
ETS1,BAK1
ETS1,IL5RA
ETS1,DYRK1B
ETS1,HOXC6
ETS1,E2F6
ETS1,SCAF4
ETS1,MBOAT2
ETS1,HMGA1
ETS1,SEPT8
ETS1,NUCKS1
ETS1,VAV2
ETS1,FMNL3
ETS1,COL1A2
ETS1,C9orf62
ETS1,RIMBP3C
ETS1,BICD2
ETS1,PKD1
ETS1,EXTL3
ETS1,HIVEP3
ETS1,SPI1
ETS1,ZFAND4
ETS1,TLN1
ETS1,PAQR5
ETS1,LINC00346
ETS1,NEGR1
ETS1,TTC9C
ETS1,PKHD1
ETS1,TIMM50
ETS1,TNS4
ETS1,NCKIPSD
ETS1,MARCH6
ETS1,ANKFY1
ETS1,FOLR1
ETS1,C14orf119
ETS1,ASXL2
ETS1,NUP98
ETS1,NPTX2
ETS1,FAM193A
ETS1,ABL1
ETS1,ADGRG1
ETS1,ANKRD52
ETS1,AP2M1
ETS1,C10orf95
ETS1,C16orf58
ETS1,C8orf82
ETS1,CAMTA2
ETS1,CBX6
ETS1,DBNDD1
ETS1,EEF2
ETS1,ELFN2
ETS1,FKBP8
ETS1,HSP90AB1
ETS1,KDM6B
ETS1,KMT2D
ETS1,MAPKAPK2
ETS1,NACC1
ETS1,PFN1
ETS1,PRRC2B
ETS1,PTPA
ETS1,PYCR1
ETS1,SMCR8
ETS1,SPRY4
ETS1,TMEM51
ETS1,GPRC5B
ETS1,HMGN2
ETS1,MCFD2
ETS1,MNT
ETS1,TOR1B
ETS1,LAD1
CPSF1,SH3BP2
CPSF1,AMPD2
CPSF1,CDKN1A
CPSF1,CDADC1
CPSF1,RGS6
CPSF1,GTPBP4
CPSF1,SFRP1
CPSF1,LGALS3BP
CPSF1,EIF5AL1
CPSF1,FTSJ3
CPSF1,ARRB1
CPSF1,PRR12
CPSF1,SEPT8
CPSF1,TMEM81
CPSF1,LDB1
CPSF1,ASPH
CPSF1,ERC1
CPSF1,IDS
CPSF1,TNFAIP8L3
CPSF1,RPRM
CPSF1,IGFBP4
CPSF1,SLC19A3
CPSF1,ZNF8
CPSF1,ZNF740
CPSF1,YWHAZ
CPSF1,VPS35
CPSF1,UNC13A
CPSF1,SUMO1
CPSF1,RALGAPA2
CPSF1,RAC1
CPSF1,MFRP
CPSF1,MARK2
CPSF1,MARCKSL1
CPSF1,KIF5A
CPSF1,HIC2
CPSF1,EFNA1
CPSF1,DIRAS1
CPSF1,DAZAP2
CPSF1,COX15
CPSF1,CARD10
CPSF1,C19orf47
CPSF1,TRAF6
CPSF1,ZNF561
CPSF1,QSOX2
CPSF1,MSN
CPSF1,B4GALT5
CPSF1,PGPEP1
CPSF1,FASTK
CPSF1,SLC9A3R2
CPSF1,DTX2
CPSF1,SCARF2
CPSF1,NFASC
CPSF1,HMX1
CPSF1,UBFD1
CPSF1,PER3
CPSF1,CLSTN1
CPSF1,MAT1A
CPSF1,HAND2
CPSF1,UBTF
CPSF1,ABCC5
CPSF1,ASCL2
CPSF1,SYNGR1
CPSF1,GNAI2
CPSF1,GRINA
CPSF1,SLC47A1
CPSF1,PSMD3
CPSF1,HDAC5
CPSF1,SHISA6
CPSF1,PHYHIP
CPSF1,LIMD2
CPSF1,ICOSLG
CPSF1,CASKIN1
CPSF1,ADCY9
CPSF1,ADAMTS14
CPSF1,RPS6KA2
CPSF1,DYRK1B
CPSF1,SRCAP
CPSF1,ABCF2
CPSF1,HOXC6
CPSF1,FLOT1
CPSF1,NAGK
CPSF1,FAM168A
CPSF1,CDKN1B
CPSF1,C12orf49
CPSF1,MAPRE1
CPSF1,RTL8A
CPSF1,YIPF4
CPSF1,ADRA2B
CPSF1,PFN1
CPSF1,IER5
CPSF1,AP1G1
CPSF1,PHF8
CPSF1,TRIM44
CPSF1,ARMC12
CPSF1,CACNA1C
CPSF1,CXorf36
CPSF1,IL21R
CPSF1,GPR173
CPSF1,KLK10
CPSF1,PCSK9
CPSF1,COL1A2
CPSF1,CPNE2
CPSF1,GOSR1
CPSF1,CELSR2
CPSF1,RGS19
CPSF1,C9orf62
CPSF1,AGO2
CPSF1,NAT10
CPSF1,RIMBP3C
CPSF1,TMEM109
CPSF1,LPCAT3
CPSF1,HNRNPA3
CPSF1,BICD2
CPSF1,SHB
CPSF1,USF2
CPSF1,LINC00346
CPSF1,CBS
CPSF1,SAMD9L
CPSF1,HEXA
CPSF1,MSI1
CPSF1,NLRC3
CPSF1,SYNJ2BP
CPSF1,NR2F6
CPSF1,MOB1B
CPSF1,CBX8
CPSF1,EVC
CPSF1,GXYLT2
CPSF1,HBS1L
CPSF1,MOB3A
CPSF1,SLC10A6
CPSF1,PXDC1
CPSF1,SOWAHA
CPSF1,HLX
CPSF1,THBS2
CPSF1,SLC34A2
CPSF1,ADGRL1
CPSF1,AMOTL2
CPSF1,AP1B1
CPSF1,ARL8A
CPSF1,ASNA1
CPSF1,BRD2
CPSF1,C10orf95
CPSF1,C8orf82
CPSF1,CAMTA2
CPSF1,CAPN1
CPSF1,CAPS
CPSF1,CBX5
CPSF1,CHERP
CPSF1,DCAKD
CPSF1,DDA1
CPSF1,DUSP14
CPSF1,E2F1
CPSF1,EEF2
CPSF1,EIF5A
CPSF1,FAM53C
CPSF1,FKBP8
CPSF1,GPAT4
CPSF1,GPS1
CPSF1,GTPBP1
CPSF1,HMGA1
CPSF1,HOXB6
CPSF1,HSP90AB1
CPSF1,ING4
CPSF1,LARP1
CPSF1,MAFK
CPSF1,MINOS1-NBL1
CPSF1,MNT
CPSF1,NACC1
CPSF1,NBL1
CPSF1,NCS1
CPSF1,NECTIN1
CPSF1,NPLOC4
CPSF1,NR1H2
CPSF1,PLEKHM1
CPSF1,PPP2R2A
CPSF1,PSAP
CPSF1,PTPA
CPSF1,RAB11B
CPSF1,RHBDD1
CPSF1,SCAMP4
CPSF1,SECISBP2L
CPSF1,SH3BP1
CPSF1,SIN3A
CPSF1,SSU72
CPSF1,TOR4A
CPSF1,TRMU
CPSF1,UBE2D3
CPSF1,WASF2
CPSF1,ZNF787
CPSF1,CLSTN2
CPSF1,GIPC1
CPSF1,GPRC5B
CPSF1,MDK
CPSF1,MSC
CPSF1,MYBL2
CPSF1,NIPAL3
CPSF1,SLC6A4
CPSF1,TMEM184B
CPSF1,LHFPL4
CPSF1,GABARAPL1
CPSF1,CNBP
CPSF1,PLCXD2
CPSF1,HIP1
CPSF1,CLPX
CPSF1,POLR2J3
CPSF1,VAV3
CPSF1,UPK3BL1
CPSF1,TRIP10
CPSF1,SLC16A1
CPSF1,NUFIP2
CPSF1,LRRC58
CPSF1,IKZF3
CPSF1,CTNS
CPSF1,CALR
CPSF1,STMP1
CPSF1,AVL9
CPSF1,ATXN7L3
CPSF1,KHSRP
CPSF1,EEPD1
CPSF1,PPIC
CPSF1,PRX
CPSF1,NANOS1
CPSF1,BTF3L4
CPSF1,PADI3
CPSF1,ADAMTS17
CPSF1,ZBTB40
CPSF1,ZNF460
CPSF1,PIK3R1
CPSF1,FEM1B
CPSF1,F8A2
CPSF1,F8A3
CPSF1,UGDH
CPSF1,C1orf35
CPSF1,MLH1
CPSF1,DNAAF3
CPSF1,S100A2
CPSF1,NOM1
CPSF1,RUNX1
CPSF1,CNKSR3
CPSF1,SSH2
CPSF1,ZBTB44
CPSF1,EIF3H
CPSF1,DNAH10OS
CPSF1,EMC1
CPSF1,GAPVD1
CPSF1,SLC24A4
CPSF1,DNAJC28
CPSF1,SSH3
CPSF1,NPY4R
CPSF1,SAMD5
CPSF1,RGS17
CPSF1,PIGR
CPSF1,FAM83F
CPSF1,CXCL10
CPSF1,ZNF417
CPSF1,F2RL2
CPSF1,ZBTB24
CPSF1,SRSF9
CPSF1,PON1
CPSF1,G3BP1
CPSF1,TOR1AIP1
CPSF1,ZNF43
CPSF1,PARP2
CPSF1,ATP8B3
CPSF1,ZC3HAV1
CPSF1,TBCCD1
CPSF1,SMU1
CPSF1,PLIN5
CPSF1,VWA7
CPSF1,ORC1
CPSF1,XRCC2
CPSF1,PEX2
CPSF1,FUT1
CPSF1,GON7
CPSF1,FUT9
CPSF1,POLR3K
CPSF1,QTRT2
CPSF1,LIMD1
CPSF1,PAICS
CPSF1,ZNF331
