host,target
MGA,C1orf52
MGA,FAM214B
MGA,ZNF182
MGA,MUC17
MGA,BSN
MGA,NFIC
MGA,PHB2
MGA,PTPA
MGA,SMCR8
MGA,CDK2AP1
MGA,KIAA1755
MGA,WASF2
SLC10A7,WNK1
SLC10A7,CCND2
SLC10A7,NUFIP2
SLC10A7,UBR3
SLC10A7,EIF4A2
SLC10A7,KLF10
SLC10A7,SLC7A2
SLC10A7,PNMA2
SLC10A7,TMEM64
SLC10A7,SMU1
SLC10A7,EIF1AX
SLC10A7,SKIL
SLC10A7,E2F3
SLC10A7,SLC16A14
SLC10A7,CTNNB1
SLC10A7,DENND4C
SLC10A7,RHOB
SLC10A7,IRF2BP2
SLC10A7,GON7
SLC10A7,TMTC1
SLC10A7,HAUS3
SLC10A7,SNX16
SLC10A7,LCOR
SLC10A7,FAM129A
SLC10A7,CDK6
SLC10A7,SON
SLC10A7,RRAGD
SLC10A7,RNF11
SLC10A7,ARL13B
SLC10A7,FAM69C
SLC10A7,RAB32
SLC10A7,SULT1B1
SLC10A7,TWF1
SLC10A7,ACSS3
SLC10A7,ZNF589
SLC10A7,ZNF639
SLC10A7,TRIM36
SLC10A7,SLC39A6
SLC10A7,VEZF1
SLC10A7,PTPRK
SLC10A7,HNRNPR
SLC10A7,CHD1
SLC10A7,ZNF100
SLC10A7,AASDHPPT
SLC10A7,TBC1D8
SLC10A7,SOBP
SLC10A7,SIX4
SLC10A7,DYRK2
SLC10A7,BBX
SLC10A7,OPA3
SLC10A7,TSN
SLC10A7,ID4
SLC10A7,ORC4
SLC10A7,SLFN11
SLC10A7,JKAMP
SLC10A7,C9orf64
SLC10A7,FASLG
SLC10A7,RMDN1
SLC10A7,PKIA
SLC10A7,MSH6
SLC10A7,PDE3A
SLC10A7,ICOSLG
SLC10A7,SEMA4D
SLC10A7,TSPAN6
SLC10A7,CYYR1
SLC10A7,RLIM
SLC10A7,TGFBR2
SLC10A7,ZNF546
SLC10A7,ABL2
SLC10A7,FBXO21
SLC10A7,LUZP1
SLC10A7,ASB3
SLC10A7,FDFT1
SLC10A7,GPR75-ASB3
SLC10A7,LPP
SLC10A7,NEUROD1
BRE,ZBTB18
BRE,ERCC4
BRE,CLDN12
BRE,KLHL15
BRE,UBN2
BRE,HIST1H1E
BRE,ZHX1
BRE,B2M
BRE,PRR3
BRE,TLX3
BRE,GLCE
BRE,C9orf170
BRE,SUCO
BRE,SUMO2
BRE,DCAF7
BRE,PTBP2
BRE,YOD1
BRE,SUGT1
BRE,ONECUT3
BRE,ZNF347
BRE,UBB
BRE,IRF2BP2
BRE,FZD9
BRE,BMP2
BRE,SGO1
BRE,SCN9A
BRE,SFMBT2
BRE,STARD5
BRE,RALGAPA2
BRE,YES1
BRE,JARID2
BRE,CRIM1
BRE,ACVR2B
BRE,PEX7
BRE,SMC5
BRE,DAPK2
BRE,NDFIP2
BRE,BICD2
BRE,VEGFA
BRE,RGMB
BRE,LHFPL2
BRE,HPRT1
BRE,HOXB3
BRE,C18orf25
BRE,RDH11
BRE,DNAJC8
BRE,SCN1A
BRE,C20orf194
BRE,VN1R1
BRE,ITGB8
BRE,TET1
BRE,PPP2R1B
BRE,AAGAB
BRE,TMEM30B
BRE,IMP4
BRE,ALDH18A1
BRE,C3orf33
BRE,ATIC
BRE,STXBP5L
BRE,SMU1
BRE,SERTAD4
BRE,ITGA1
BRE,GATM
BRE,EFNA5
BRE,ATP6AP2
BRE,CRY2
BRE,CREB1
BRE,AGO2
BRE,UBE2Z
BRE,SARAF
BRE,STX6
BRE,SAMD8
BRE,NEGR1
BRE,KITLG
BRE,CD164
BRE,HLTF
BRE,HNF4G
BRE,ZNF71
BRE,ABCD2
BRE,BBX
BRE,HLA-DRB5
BRE,CAPZA2
BRE,HOPX
BRE,MRPL19
BRE,GCK
BRE,NEUROD1
BRE,EIF5A2
BRE,LMNB2
BRE,PKM
BRE,DYNLL2
BRE,PPP1R11
BRE,SLC12A7
BRE,C21orf91
BRE,ZNF688
SLIT3,MBNL2
SLIT3,EFNA1
SLIT3,NUP93
SLIT3,MRPS27
SLIT3,EBP
SLIT3,LAMB3
SLIT3,NFE2L1
SLIT3,LASP1
SLIT3,MAFG
SLIT3,IKBKB
SLIT3,SP1
SLIT3,VOPP1
SLIT3,NACC1
SLIT3,BIRC6
SLIT3,ACTN1
SLIT3,STAM2
SLIT3,CDKN1B
SLIT3,BIRC5
SLIT3,GJA1
SLIT3,ROBO1
SLIT3,RICTOR
SLIT3,SOST
SLIT3,SFRP2
SLIT3,HOXB3
SLIT3,DKK2
SLIT3,TOB1
SLIT3,CDK6
SLIT3,BMI1
SLIT3,EFNB2
SLIT3,AHI1
SLIT3,SLC38A1
SLIT3,ATP6V0E1
SLIT3,TPD52
SLIT3,BLCAP
SLIT3,SSH1
SLIT3,RNF38
SLIT3,KLF9
SLIT3,OLIG2
SLIT3,SERINC3
SLIT3,CNTNAP2
SLIT3,FOXN2
SLIT3,AGPAT5
SLIT3,KLHL13
SLIT3,PHC3
SLIT3,AKAP8
SLIT3,RIT1
SLIT3,CENPO
SLIT3,JCAD
SLIT3,SLC11A2
SLIT3,SREK1
SLIT3,GLCE
SLIT3,PTPN11
SLIT3,RNF219
SLIT3,BTF3L4
SLIT3,RARA
SLIT3,FAM13B
SLIT3,GPM6A
SLIT3,BTBD7
SLIT3,RHBDD1
SLIT3,COL4A1
SLIT3,KATNAL1
SLIT3,CAMTA1
SLIT3,ETS2
SLIT3,POGK
SLIT3,TNIP2
SLIT3,TTC33
SLIT3,DUSP18
SLIT3,THOC2
SLIT3,PUM2
SLIT3,HECTD2
SLIT3,ARL6
SLIT3,ZNF711
SLIT3,TTC21B
SLIT3,SSR1
SLIT3,ZC3H18
SLIT3,MLX
SLIT3,HBS1L
SLIT3,KLHL31
SLIT3,RPL12
SLIT3,ARSG
SLIT3,ZNF407
SLIT3,RPS25
SLIT3,RPS13
SLIT3,PRRC2C
SLIT3,FKBP1A
SLIT3,DST
SLIT3,EARS2
SLIT3,SBNO1
SLIT3,PPIA
SLIT3,HMGB1
SLIT3,LEF1
SLIT3,MITF
SLIT3,PDGFRA
SLIT3,GLI2
SLIT3,OTUD7B
SLIT3,RUNX2
SLIT3,GHITM
SLIT3,RFWD3
SLIT3,IFNAR2
SLIT3,SLC25A36
SLIT3,SLC7A11
SLIT3,BTG2
SLIT3,FOXP1
SLIT3,SHOC2
SLIT3,GOLGA3
SLIT3,MANBAL
SLIT3,GNAI2
SLIT3,ELMSAN1
SLIT3,BLOC1S6
SLIT3,MPRIP
SLIT3,UCHL1
SLIT3,ZNF609
SLIT3,FAM217B
SLIT3,HNRNPA3
SLIT3,UGP2
SLIT3,MBNL1
SLIT3,MFAP3
SLIT3,ZFX
SLIT3,TPM3
SLIT3,ANKRD27
SLIT3,CDH2
SLIT3,TFF1
SLIT3,EGFR
SLIT3,RET
SLIT3,SH3GL1
SLIT3,ZZEF1
SLIT3,ZXDC
SLIT3,ZSCAN5A
SLIT3,ZNF827
SLIT3,ZNF776
SLIT3,ZNF652
SLIT3,ZNF608
SLIT3,ZNF500
SLIT3,ZNF496
SLIT3,ZNF41
SLIT3,ZNF3
SLIT3,ZNF317
SLIT3,ZFYVE26
SLIT3,ZFP91
SLIT3,ZFAT
SLIT3,ZCCHC14
SLIT3,ZC3H8
SLIT3,ZC3H13
SLIT3,ZC3H4
SLIT3,ZBTB9
SLIT3,ZBTB24
SLIT3,YWHAB
SLIT3,YTHDF1
SLIT3,XKR6
SLIT3,WNT5A
SLIT3,WIPF2
SLIT3,WDR1
SLIT3,WDHD1
SLIT3,WARS
SLIT3,VPS53
SLIT3,VEZF1
SLIT3,VEGFC
SLIT3,VCAN
SLIT3,VAV2
SLIT3,USP47
SLIT3,USP34
SLIT3,USP22
SLIT3,UNC5B
SLIT3,UGGT2
SLIT3,UCK2
SLIT3,UBR7
SLIT3,UBP1
SLIT3,UBN2
SLIT3,UBE2W
SLIT3,UBE2H
SLIT3,UBE2G2
SLIT3,UBE2D3
SLIT3,UBAP2
SLIT3,TTYH3
SLIT3,TTI1
SLIT3,TSPAN18
SLIT3,TSPAN14
SLIT3,TRPS1
SLIT3,TRIM65
SLIT3,TRIM5
SLIT3,TRIM39
SLIT3,TRAPPC1
SLIT3,TRAK2
SLIT3,TPR
SLIT3,TOP2A
SLIT3,TNRC18
SLIT3,TMPRSS3
SLIT3,TMEM222
SLIT3,TMEM14A
SLIT3,TMEM101
SLIT3,TMCO6
SLIT3,TMBIM6
SLIT3,TM4SF1
SLIT3,TLN1
SLIT3,THUMPD1
SLIT3,THTPA
SLIT3,TGFBRAP1
SLIT3,TGFBR3
SLIT3,TFIP11
SLIT3,TFDP2
SLIT3,TERF2
SLIT3,TCP11L2
SLIT3,TCOF1
SLIT3,TBC1D3C
SLIT3,TAF5L
SLIT3,SYT11
SLIT3,SUSD4
SLIT3,SUPT16H
SLIT3,SULF2
SLIT3,SUMF2
SLIT3,STRN4
SLIT3,STK24
SLIT3,STIP1
SLIT3,STAU1
SLIT3,STARD4
SLIT3,ST6GAL1
SLIT3,ST3GAL2
SLIT3,SS18
SLIT3,SRSF9
SLIT3,SRSF10
SLIT3,SRRT
SLIT3,SREBF2
SLIT3,SRA1
SLIT3,SQSTM1
SLIT3,SPOPL
SLIT3,SPIRE1
SLIT3,SPAG9
SLIT3,SP3
SLIT3,SP100
SLIT3,SORT1
SLIT3,SNX4
SLIT3,SNTB1
SLIT3,SNAPIN
SLIT3,SNRPD3
SLIT3,SNAI2
SLIT3,SMYD3
SLIT3,SMARCB1
SLIT3,SLC45A3
SLIT3,SLC39A9
SLIT3,SLC39A10
SLIT3,SLC35F5
SLIT3,SLC35E2B
SLIT3,SLC30A5
SLIT3,SLC25A15
SLIT3,SLC20A2
SLIT3,SLC1A5
SLIT3,SLC10A7
SLIT3,SLAIN2
SLIT3,SIRT6
SLIT3,SIN3A
SLIT3,SIKE1
SLIT3,SIK2
SLIT3,SIAH2
SLIT3,SHROOM2
SLIT3,SH3KBP1
SLIT3,SH3BP1
SLIT3,SGPL1
SLIT3,SFT2D2
SLIT3,SFSWAP
SLIT3,SFPQ
SLIT3,KMT5A
SLIT3,SETBP1
SLIT3,SERPINB6
SLIT3,SEPHS1
SLIT3,SEMA4D
SLIT3,SEMA5A
SLIT3,SEC31A
SLIT3,SEC24A
SLIT3,SEC16A
SLIT3,SDC3
SLIT3,SDF4
SLIT3,SCRN1
SLIT3,SCAPER
SLIT3,SARM1
SLIT3,SATB2
SLIT3,SAP130
SLIT3,SACS
SLIT3,S100A11
SLIT3,RUNX3
SLIT3,RSL1D1
SLIT3,RSF1
SLIT3,RSBN1
SLIT3,RREB1
SLIT3,RPS6KA3
SLIT3,RPS18
SLIT3,RPL8
SLIT3,RPL3
SLIT3,RPL21
SLIT3,RPL15
SLIT3,RORA
SLIT3,RNPS1
SLIT3,RNMT
SLIT3,RNF4
SLIT3,RNF170
SLIT3,RNF10
SLIT3,RHOB
SLIT3,RHOA
SLIT3,RFXAP
SLIT3,RFX5
SLIT3,RFT1
SLIT3,RFC1
SLIT3,REXO2
SLIT3,REV3L
SLIT3,REEP5
SLIT3,RCHY1
SLIT3,RBPJ
SLIT3,RC3H1
SLIT3,RBM6
SLIT3,RBM5
SLIT3,RBM4
SLIT3,RBM18
SLIT3,RBBP9
SLIT3,RASEF
SLIT3,RASA4
SLIT3,RARS2
SLIT3,RANBP3
SLIT3,RAI14
SLIT3,QRICH1
SLIT3,NECTIN2
SLIT3,PURB
SLIT3,PUF60
SLIT3,PTPRK
SLIT3,PTPRG
SLIT3,PTPN14
SLIT3,PTP4A2
SLIT3,PTK7
SLIT3,PTGFRN
SLIT3,PTCH1
SLIT3,PSME4
SLIT3,PSD3
SLIT3,PRUNE1
SLIT3,PRRC2A
SLIT3,PRPF8
SLIT3,PRKG1
SLIT3,PRKDC
SLIT3,PRKAR1B
SLIT3,PRELID1
SLIT3,PRKAG1
SLIT3,PPP2R5E
SLIT3,PPP2R2A
SLIT3,PPP2CB
SLIT3,PPARD
SLIT3,PPARG
SLIT3,POM121
SLIT3,POLR2A
SLIT3,POLR1A
SLIT3,POLM
SLIT3,PNPLA8
SLIT3,PMPCB
SLIT3,PLS3
SLIT3,PLEKHA5
SLIT3,PKP4
SLIT3,PKM
SLIT3,PITRM1
SLIT3,PIP4K2B
SLIT3,PIP4K2A
SLIT3,PIK3C2B
SLIT3,PI4KA
SLIT3,PHIP
SLIT3,PHF19
SLIT3,PHC2
SLIT3,PGAP2
SLIT3,PFN2
SLIT3,PDZD8
SLIT3,PDLIM7
SLIT3,PDIA6
SLIT3,PDIA4
SLIT3,PDE6D
SLIT3,PDCD6
SLIT3,PCBP2
SLIT3,PARP4
SLIT3,PARP16
SLIT3,PARD3
SLIT3,PAPD7
SLIT3,PANK3
SLIT3,PAM
SLIT3,PALLD
SLIT3,PABPC4
SLIT3,PACS1
SLIT3,OXNAD1
SLIT3,ODC1
SLIT3,NUP214
SLIT3,NUDT5
SLIT3,NUAK2
SLIT3,NSF
SLIT3,NSD1
SLIT3,NRP1
SLIT3,NR6A1
SLIT3,NPTN
SLIT3,NPLOC4
SLIT3,NOSIP
SLIT3,NMRAL1
SLIT3,NLRC5
SLIT3,NIPA2
SLIT3,NHP2
SLIT3,NHSL1
SLIT3,NFATC3
SLIT3,NEDD9
SLIT3,NDUFS1
SLIT3,NCOA4
SLIT3,NAV1
SLIT3,NAPRT
SLIT3,NANP
SLIT3,NAMPTP1
SLIT3,NAMPT
SLIT3,MYO5B
SLIT3,MYO1D
SLIT3,MYO10
SLIT3,BLOC1S5
SLIT3,MTR
SLIT3,MTOR
SLIT3,MTMR4
SLIT3,MTMR3
SLIT3,MTHFD1L
SLIT3,MTMR10
SLIT3,MSL1
SLIT3,MSC
SLIT3,MRPS2
SLIT3,MRPS18A
SLIT3,MRPL43
SLIT3,MRPL13
SLIT3,MORC2
SLIT3,MNT
SLIT3,MMP16
SLIT3,KMT2A
SLIT3,KMT2D
SLIT3,MKI67
SLIT3,MID1
SLIT3,MFN2
SLIT3,MET
SLIT3,METTL8
SLIT3,MEIS2
SLIT3,MEA1
SLIT3,MDM2
SLIT3,MCM3AP
SLIT3,MBOAT2
SLIT3,MB21D2
SLIT3,MARCKS
SLIT3,MAP3K9
SLIT3,MAP3K5
SLIT3,MAP3K11
SLIT3,MAP2K3
SLIT3,MAP2K7
SLIT3,MAML2
SLIT3,MAGED4B
SLIT3,LYRM2
SLIT3,LYPD6B
SLIT3,LTBP4
SLIT3,LRRFIP1
SLIT3,LRIG1
SLIT3,LOXL2
SLIT3,LGR4
SLIT3,LARS
SLIT3,LARP4B
SLIT3,LANCL2
SLIT3,LANCL1
SLIT3,KSR1
SLIT3,L3MBTL1
SLIT3,PPP1R21
SLIT3,KLHL21
SLIT3,KLF12
SLIT3,KLF10
SLIT3,KIRREL3
SLIT3,KIF21B
SLIT3,KIF15
SLIT3,KIAA1644
SLIT3,KIAA1522
SLIT3,KIAA1549
SLIT3,CFAP97
SLIT3,FAM214A
SLIT3,MYORG
SLIT3,KIAA1147
SLIT3,KIAA0319L
SLIT3,KDM6A
SLIT3,KCNMA1
SLIT3,KCNK6
SLIT3,KBTBD2
SLIT3,JARID2
SLIT3,IWS1
SLIT3,ITPK1
SLIT3,ITM2C
SLIT3,ITGB1
SLIT3,ITGAV
SLIT3,IPO8
SLIT3,IPO5
SLIT3,INTS1
SLIT3,INHBA
SLIT3,IMPDH2
SLIT3,IMMP2L
SLIT3,IGF2R
SLIT3,IGF1R
SLIT3,IFFO2
SLIT3,IER3IP1
SLIT3,ICMT
SLIT3,ICA1L
SLIT3,HSPG2
SLIT3,HSP90B1
SLIT3,HS6ST2
SLIT3,HPS4
SLIT3,HP1BP3
SLIT3,HMGXB4
SLIT3,HMGA1
SLIT3,HMGB2
SLIT3,HLCS
SLIT3,HLA-E
SLIT3,HLA-A
SLIT3,HJURP
SLIT3,HIVEP3
SLIT3,HIPK2
SLIT3,HFM1
SLIT3,HEATR1
SLIT3,HDGF
SLIT3,HDAC8
SLIT3,HARBI1
SLIT3,GSPT1
SLIT3,GPBP1L1
SLIT3,GPR157
SLIT3,GOLPH3L
SLIT3,GOLGB1
SLIT3,GNB4
SLIT3,GNB1
SLIT3,GNAS
SLIT3,GNA12
SLIT3,GMDS
SLIT3,GLMN
SLIT3,GLIS3
SLIT3,GLG1
SLIT3,GIT2
SLIT3,GAPDH
SLIT3,GALNT18
SLIT3,GAB2
SLIT3,FYCO1
SLIT3,TIMM10B
SLIT3,FUBP1
SLIT3,FSHR
SLIT3,FRMD4A
SLIT3,FOXO3
SLIT3,FOXK1
SLIT3,FNIP1
SLIT3,FNDC3B
SLIT3,FNBP4
SLIT3,FN1
SLIT3,FLNB
SLIT3,FLNA
SLIT3,FKBP10
SLIT3,FERMT2
SLIT3,FBXW2
SLIT3,FBXO41
SLIT3,FBXL5
SLIT3,FBXL4
SLIT3,FBN2
SLIT3,FAT1
SLIT3,FAM83E
SLIT3,RIPOR1
SLIT3,FAM172A
SLIT3,DENND6A
SLIT3,FAM104A
SLIT3,FAM102B
SLIT3,FADS2
SLIT3,FADS1
SLIT3,EXT1
SLIT3,ERMP1
SLIT3,ERLIN1
SLIT3,EPC1
SLIT3,EPHB2
SLIT3,EMB
SLIT3,ELAVL1
SLIT3,EIF4G3
SLIT3,EIF4G1
SLIT3,EIF4A2
SLIT3,EIF3E
SLIT3,EIF2S3
SLIT3,EIF2B5
SLIT3,EIF2B1
SLIT3,EIF2A
SLIT3,EID2B
SLIT3,EFTUD2
SLIT3,EEF1G
SLIT3,EEF1D
SLIT3,EDEM3
SLIT3,DPYSL3
SLIT3,DPM2
SLIT3,DOK1
SLIT3,DOCK10
SLIT3,DOCK9
SLIT3,DNTTIP2
SLIT3,DNPEP
SLIT3,DNMT1
SLIT3,DNHD1
SLIT3,DNAJC2
SLIT3,DNAJC11
SLIT3,DNAJA4
SLIT3,DMTF1
SLIT3,DLG1
SLIT3,DIS3L2
SLIT3,DICER1
SLIT3,DIABLO
SLIT3,DHCR7
SLIT3,DGKZ
SLIT3,DGAT2
SLIT3,DEAF1
SLIT3,DDX6
SLIT3,DDX58
SLIT3,DDX17
SLIT3,DCP2
SLIT3,DCAKD
SLIT3,DCBLD2
SLIT3,DCAF8
SLIT3,DCAF5
SLIT3,DAPK1
SLIT3,CYB5R3
SLIT3,CUX1
SLIT3,CUL3
SLIT3,CTSB
SLIT3,CTNNAL1
SLIT3,CTNNA1
SLIT3,CSDC2
SLIT3,CREBBP
SLIT3,CREB3L1
SLIT3,CPOX
SLIT3,CPSF1
SLIT3,COX7A2L
SLIT3,COX15
SLIT3,CORO1C
SLIT3,COPS3
SLIT3,COPS2
SLIT3,CNOT1
SLIT3,CNDP2
SLIT3,CLSTN1
SLIT3,CLIP2
SLIT3,CLEC16A
SLIT3,CLCF1
SLIT3,CHST5
SLIT3,CHKB
SLIT3,CHD8
SLIT3,CHD2
SLIT3,CHCHD2
SLIT3,CDK11A
SLIT3,CDC42EP3
SLIT3,CDC42BPA
SLIT3,CD163L1
SLIT3,CD44
SLIT3,CCNF
SLIT3,CCNL2
SLIT3,CCND3
SLIT3,CCDC80
SLIT3,CCDC71
SLIT3,CBX8
SLIT3,CBX1
SLIT3,CBL
SLIT3,CAPZB
SLIT3,CARD11
SLIT3,CAP1
SLIT3,C9orf3
SLIT3,COA1
SLIT3,SNHG15
SLIT3,CCZ1B
SLIT3,PXDC1
SLIT3,C3orf52
SLIT3,OSER1
SLIT3,C1orf159
SLIT3,SZRD1
SLIT3,TMEM259
SLIT3,C19orf12
SLIT3,EMC7
SLIT3,C11orf54
SLIT3,LBHD1
SLIT3,CACUL1
SLIT3,BUD31
SLIT3,TSPOAP1
SLIT3,BTBD2
SLIT3,BRF2
SLIT3,BRD7
SLIT3,BMP1
SLIT3,BCL2L1
SLIT3,BCAS4
SLIT3,BCL11B
SLIT3,BCAS2
SLIT3,BAP1
SLIT3,BAG6
SLIT3,AXIN1
SLIT3,AVL9
SLIT3,AUTS2
SLIT3,AURKAIP1
SLIT3,ATXN7L1
SLIT3,ATXN1
SLIT3,ATP6V1H
SLIT3,ATR
SLIT3,ATP6AP1
SLIT3,ATP5B
SLIT3,ATP2B4
SLIT3,ATP1B1
SLIT3,ATM
SLIT3,ATL2
SLIT3,ASPM
SLIT3,ATAD1
SLIT3,ASB2
SLIT3,ASAP2
SLIT3,ARPP19
SLIT3,ARPC1B
SLIT3,ARNT
SLIT3,ARL6IP1
SLIT3,ARID1A
SLIT3,ARHGAP17
SLIT3,APC
SLIT3,AP2A2
SLIT3,ANXA2
SLIT3,ANO6
SLIT3,ANKRD52
SLIT3,ANKRD10
SLIT3,ANKFY1
SLIT3,ALMS1
SLIT3,ANK3
SLIT3,AKNAD1
SLIT3,AIG1
SLIT3,ADH5
SLIT3,ADARB1
SLIT3,ADAM17
SLIT3,ADAM12
SLIT3,ACTR8
SLIT3,ACTR2
SLIT3,ACTB
SLIT3,ACIN1
SLIT3,ACACA
SLIT3,ABL1
SLIT3,ABHD2
SLIT3,ABHD11
SLIT3,ABCF2
SLIT3,ABCA13
SLIT3,AAAS
SLIT3,RIMKLB
SLIT3,CCDC74B
SLIT3,CCDC74A
SLIT3,FAM198B
SLIT3,CCDC88C
SLIT3,C17orf102
SLIT3,PAK2
SLIT3,CASS4
SLIT3,PRLR
SLIT3,ZNF354C
SLIT3,HIST1H2BK
SLIT3,UBE2V1
SLIT3,TMEM64
SLIT3,TMEM189-UBE2V1
SLIT3,TMEM189
SLIT3,NRAS
SLIT3,ELL2
SLIT3,GLDN
SLIT3,MAP3K21
SLIT3,MTPAP
SLIT3,SHMT1
SLIT3,PPP6C
SLIT3,H2AFX
SLIT3,PAWR
SLIT3,NAA15
SLIT3,SLC35C2
SLIT3,ELOVL6
SLIT3,OIP5
SLIT3,GDE1
SLIT3,SALL3
SLIT3,ZNF566
SLIT3,RHOQ
SLIT3,GFPT1
SLIT3,DAZAP1
SLIT3,CCDC6
SLIT3,NDUFA6
SLIT3,CDKN2AIP
SLIT3,VAT1
SLIT3,PPP1CC
SLIT3,POC1B-GALNT4
SLIT3,LNPEP
SLIT3,GPRC5B
SLIT3,GALNT4
SLIT3,ETNK1
SLIT3,CNNM2
SLIT3,ZNF813
SLIT3,LMNB1
SLIT3,PAIP2
SLIT3,KSR2
SLIT3,AGO1
SLIT3,CD99
SLIT3,PDCD4
SLIT3,SRRM4
SLIT3,RAB30
SLIT3,CYP24A1
SLIT3,TEX9
SLIT3,WDR66
SLIT3,SEMA3G
SLIT3,RPL35
SLIT3,HNRNPA1L2
SLIT3,TFRC
SLIT3,RPP25
SLIT3,NUP210
SLIT3,HNRNPA1
SLIT3,POU2F2
SLIT3,SMO
SLIT3,E2F2
SLIT3,HMOX1
SLIT3,SLIT2
SLIT3,WASF3
SLIT3,KIT
SLIT3,VPS51
SLIT3,MMP2
SLIT3,RPS6KB1
SLIT3,BCL9
SLIT3,IST1
SLIT3,NPAP1
SLIT3,CDKN2C
SLIT3,RDH10
SLIT3,ERVMER34-1
SLIT3,PSMB5
SLIT3,SATB1
SLIT2,MBNL2
SLIT2,EFNA1
SLIT2,NUP93
SLIT2,MRPS27
SLIT2,EBP
SLIT2,LAMB3
SLIT2,NFE2L1
SLIT2,LASP1
SLIT2,MAFG
SLIT2,IKBKB
SLIT2,SP1
SLIT2,VOPP1
SLIT2,NACC1
SLIT2,BIRC6
SLIT2,ACTN1
SLIT2,STAM2
SLIT2,CDKN1B
SLIT2,BIRC5
SLIT2,GJA1
SLIT2,ROBO1
SLIT2,RICTOR
SLIT2,SOST
SLIT2,SFRP2
SLIT2,HOXB3
SLIT2,DKK2
SLIT2,TOB1
SLIT2,CDK6
SLIT2,BMI1
SLIT2,EFNB2
SLIT2,AHI1
SLIT2,SLC38A1
SLIT2,ATP6V0E1
SLIT2,TPD52
SLIT2,BLCAP
SLIT2,SSH1
SLIT2,RNF38
SLIT2,KLF9
SLIT2,OLIG2
SLIT2,SERINC3
SLIT2,CNTNAP2
SLIT2,FOXN2
SLIT2,AGPAT5
SLIT2,KLHL13
SLIT2,PHC3
SLIT2,AKAP8
SLIT2,RIT1
SLIT2,CENPO
SLIT2,JCAD
SLIT2,SLC11A2
SLIT2,SREK1
SLIT2,GLCE
SLIT2,PTPN11
SLIT2,RNF219
SLIT2,BTF3L4
SLIT2,RARA
SLIT2,FAM13B
SLIT2,GPM6A
SLIT2,BTBD7
SLIT2,RHBDD1
SLIT2,COL4A1
SLIT2,KATNAL1
SLIT2,CAMTA1
SLIT2,ETS2
SLIT2,POGK
SLIT2,TNIP2
SLIT2,TTC33
SLIT2,DUSP18
SLIT2,THOC2
SLIT2,PUM2
SLIT2,HECTD2
SLIT2,ARL6
SLIT2,ZNF711
SLIT2,TTC21B
SLIT2,SSR1
SLIT2,ZC3H18
SLIT2,MLX
SLIT2,HBS1L
SLIT2,KLHL31
SLIT2,RPL12
SLIT2,ARSG
SLIT2,ZNF407
SLIT2,RPS25
SLIT2,RPS13
SLIT2,PRRC2C
SLIT2,FKBP1A
SLIT2,DST
SLIT2,EARS2
SLIT2,SBNO1
SLIT2,PPIA
SLIT2,HMGB1
SLIT2,LEF1
SLIT2,MITF
SLIT2,PDGFRA
SLIT2,GLI2
SLIT2,OTUD7B
SLIT2,RUNX2
SLIT2,GHITM
SLIT2,RFWD3
SLIT2,IFNAR2
SLIT2,SLC25A36
SLIT2,SLC7A11
SLIT2,BTG2
SLIT2,FOXP1
SLIT2,SHOC2
SLIT2,GOLGA3
SLIT2,MANBAL
SLIT2,GNAI2
SLIT2,ELMSAN1
SLIT2,BLOC1S6
SLIT2,MPRIP
SLIT2,UCHL1
SLIT2,ZNF609
SLIT2,NUFIP2
SLIT2,FAM217B
SLIT2,HNRNPA3
SLIT2,UGP2
SLIT2,MBNL1
SLIT2,MFAP3
SLIT2,ZFX
SLIT2,TPM3
SLIT2,ANKRD27
SLIT2,CDH2
SLIT2,TFF1
SLIT2,EGFR
SLIT2,RET
SLIT2,SH3GL1
SLIT2,ZZEF1
SLIT2,ZXDC
SLIT2,ZSCAN5A
SLIT2,ZNF827
SLIT2,ZNF776
SLIT2,ZNF652
SLIT2,ZNF608
SLIT2,ZNF500
SLIT2,ZNF496
SLIT2,ZNF41
SLIT2,ZNF3
SLIT2,ZNF317
SLIT2,ZFYVE26
SLIT2,ZFP91
SLIT2,ZFAT
SLIT2,ZCCHC14
SLIT2,ZC3H8
SLIT2,ZC3H13
SLIT2,ZC3H4
SLIT2,ZBTB9
SLIT2,ZBTB24
SLIT2,YWHAB
SLIT2,YTHDF1
SLIT2,XKR6
SLIT2,WNT5A
SLIT2,WIPF2
SLIT2,WDR1
SLIT2,WDHD1
SLIT2,WARS
SLIT2,VPS53
SLIT2,VEZF1
SLIT2,VEGFC
SLIT2,VCAN
SLIT2,VAV2
SLIT2,USP47
SLIT2,USP34
SLIT2,USP22
SLIT2,UNC5B
SLIT2,UGGT2
SLIT2,UCK2
SLIT2,UBR7
SLIT2,UBP1
SLIT2,UBN2
SLIT2,UBE2W
SLIT2,UBE2H
SLIT2,UBE2G2
SLIT2,UBE2D3
SLIT2,UBAP2
SLIT2,TTYH3
SLIT2,TTI1
SLIT2,TSPAN18
SLIT2,TSPAN14
SLIT2,TRPS1
SLIT2,TRIM65
SLIT2,TRIM5
SLIT2,TRIM39
SLIT2,TRAPPC1
SLIT2,TRAK2
SLIT2,TPR
SLIT2,TOP2A
SLIT2,TNRC18
SLIT2,TMPRSS3
SLIT2,TMEM222
SLIT2,TMEM14A
SLIT2,TMEM101
SLIT2,TMCO6
SLIT2,TMBIM6
SLIT2,TM4SF1
